Time,Latitude,Longitude,Image
20260308_212114,19.0728,72.8826,outputs/damage_20260308_212114.jpg
20260308_212115,19.0728,72.8826,outputs/damage_20260308_212115.jpg
20260308_212116,19.0728,72.8826,outputs/damage_20260308_212116.jpg
20260308_212126,19.0728,72.8826,outputs/damage_20260308_212126.jpg
20260308_212131,19.0728,72.8826,outputs/damage_20260308_212131.jpg
20260308_212136,19.0728,72.8826,outputs/damage_20260308_212136.jpg
20260308_212141,19.0728,72.8826,outputs/damage_20260308_212141.jpg
20260308_212144,19.0728,72.8826,outputs/damage_20260308_212144.jpg
20260308_212158,19.0728,72.8826,outputs/damage_20260308_212158.jpg
20260308_212206,19.0728,72.8826,outputs/damage_20260308_212206.jpg
20260308_212207,19.0728,72.8826,outputs/damage_20260308_212207.jpg
20260308_212207,19.0728,72.8826,outputs/damage_20260308_212207.jpg
20260308_212209,19.0728,72.8826,outputs/damage_20260308_212209.jpg
20260308_212210,19.0728,72.8826,outputs/damage_20260308_212210.jpg
20260308_212521,19.0728,72.8826,outputs/damage_20260308_212521.jpg
20260308_212531,19.0728,72.8826,outputs/damage_20260308_212531.jpg
20260308_212532,19.0728,72.8826,outputs/damage_20260308_212532.jpg
20260308_212535,19.0728,72.8826,outputs/damage_20260308_212535.jpg
20260308_212538,19.0728,72.8826,outputs/damage_20260308_212538.jpg
20260308_212544,19.0728,72.8826,outputs/damage_20260308_212544.jpg
20260308_212547,19.0728,72.8826,outputs/damage_20260308_212547.jpg
20260308_212548,19.0728,72.8826,outputs/damage_20260308_212548.jpg
20260308_212548,19.0728,72.8826,outputs/damage_20260308_212548.jpg
20260308_212549,19.0728,72.8826,outputs/damage_20260308_212549.jpg
20260308_212549,19.0728,72.8826,outputs/damage_20260308_212549.jpg
20260308_212550,19.0728,72.8826,outputs/damage_20260308_212550.jpg
20260308_212551,19.0728,72.8826,outputs/damage_20260308_212551.jpg
20260308_212552,19.0728,72.8826,outputs/damage_20260308_212552.jpg
20260308_213053,19.0728,72.8826,outputs/damage_20260308_213053.jpg
20260308_213100,19.0728,72.8826,outputs/damage_20260308_213100.jpg
20260308_213103,19.0728,72.8826,outputs/damage_20260308_213103.jpg
20260308_213104,19.0728,72.8826,outputs/damage_20260308_213104.jpg
20260308_213109,19.0728,72.8826,outputs/damage_20260308_213109.jpg
20260308_213110,19.0728,72.8826,outputs/damage_20260308_213110.jpg
20260308_213116,19.0728,72.8826,outputs/damage_20260308_213116.jpg
20260308_213117,19.0728,72.8826,outputs/damage_20260308_213117.jpg
20260308_213118,19.0728,72.8826,outputs/damage_20260308_213118.jpg
20260308_213119,19.0728,72.8826,outputs/damage_20260308_213119.jpg
20260308_213119,19.0728,72.8826,outputs/damage_20260308_213119.jpg
20260308_213120,19.0728,72.8826,outputs/damage_20260308_213120.jpg
20260308_213121,19.0728,72.8826,outputs/damage_20260308_213121.jpg
20260308_213121,19.0728,72.8826,outputs/damage_20260308_213121.jpg
20260308_213124,19.0728,72.8826,outputs/damage_20260308_213124.jpg
20260308_213124,19.0728,72.8826,outputs/damage_20260308_213124.jpg
20260308_213126,19.0728,72.8826,outputs/damage_20260308_213126.jpg
20260308_213154,19.0728,72.8826,outputs/damage_20260308_213154.jpg
20260308_213159,19.0728,72.8826,outputs/damage_20260308_213159.jpg
20260308_213615,19.0728,72.8826,outputs/damage_20260308_213615.jpg
20260308_213617,19.0728,72.8826,outputs/damage_20260308_213617.jpg
20260308_213619,19.0728,72.8826,outputs/damage_20260308_213619.jpg
20260308_213620,19.0728,72.8826,outputs/damage_20260308_213620.jpg
20260308_213623,19.0728,72.8826,outputs/damage_20260308_213623.jpg
20260308_213624,19.0728,72.8826,outputs/damage_20260308_213624.jpg
20260308_213625,19.0728,72.8826,outputs/damage_20260308_213625.jpg
20260308_213627,19.0728,72.8826,outputs/damage_20260308_213627.jpg
20260308_213627,19.0728,72.8826,outputs/damage_20260308_213627.jpg
20260308_213629,19.0728,72.8826,outputs/damage_20260308_213629.jpg
20260308_213629,19.0728,72.8826,outputs/damage_20260308_213629.jpg
20260308_213633,19.0728,72.8826,outputs/damage_20260308_213633.jpg
